ID,Jupiter,Ketu,Mars,Mercury,Moon,Neptune,Pluto,Rahu,Saturn,Sun,Uranus,Venus,DOB,TOB,GENDER
0,226.3422170362,273.7043490308,331.4649579842,230.3840677538,106.0692688337,319.9421002167,266.359754011,93.7043490308,256.5784766208,249.4652835452,4.6540401168,203.1510211731,2018-12-25,11:22:35,1
1,230.319659375,272.6833385264,344.4168449683,258.9124149189,352.0459613381,320.3495430002,266.9908333854,92.6833385264,258.8358918816,269.0907756253,4.592146836,222.3965045137,2019-01-13,15:47:24,2
2,215.6293544503,276.2718817328,300.5580395,223.5568820046,191.3676439612,319.7730818828,265.0764292941,96.2718817328,251.4230336129,200.4013329717,5.9819530639,183.0800580163,2018-11-07,04:32:42,2
3,238.0281242546,265.9708033763,68.6546722125,33.424242241,233.0170897346,324.4148804185,268.9695162414,85.9708033763,266.1633272022,34.9660595097,10.0322326158,11.9006716267,2019-05-20,09:53:08,1
4,215.9191176138,276.2017556087,301.338188796,224.818097032,209.0844050837,319.7602012836,265.1004149473,96.2017556087,251.5403990481,201.7298385568,5.9301660478,182.6075361203,2018-11-08,13:18:18,2
5,202.2754939904,280.1437035591,274.6331230977,109.8409284224,301.7922037603,321.4328409905,265.0584279294,100.1437035591,248.6486441255,127.9883402039,8.4215057272,173.6474878661,2018-08-25,01:00:13,1
6,232.7741433428,271.9985201527,353.1675714076,279.8001231283,175.9971036746,320.7229512917,267.4235286291,91.9985201527,260.3222711067,282.2415117684,4.7406968958,236.49305241,2019-01-26,20:56:35,1
7,200.2712643422,281.2505378596,277.7988235908,115.6428769801,21.3400942155,321.9294168721,265.4520645068,101.2505378596,249.3479310254,108.4796689689,8.5439855822,153.9013635259,2018-08-05,06:43:13,2
8,199.7489104778,281.7021066524,280.0758576296,119.3803379725,276.3348171769,322.101888369,265.6463258485,101.7021066524,249.8014466198,100.3309043814,8.4953319816,144.9554051123,2018-07-27,13:12:20,2
9,239.8820142343,268.9593178904,31.7498053166,322.7367241796,211.6867834731,322.8040075089,268.8908544415,88.9593178904,265.441631626,339.9167039788,6.8774540033,303.6520553899,2019-03-25,05:23:33,1
10,237.4481848569,270.421655118,13.5666428097,330.7655002697,208.8268429896,321.7808418955,268.3275294637,90.421655118,263.421395791,312.7707726806,5.6090880543,271.2635763268,2019-02-25,12:06:09,2
11,201.3294172938,280.6171389252,275.3626321539,107.8269531361,193.5748525206,321.6486609654,265.2058256085,100.6171389252,248.8645279082,119.949328053,8.5120373202,165.856649164,2018-08-16,21:35:08,1
12,238.6453642925,266.2936285087,64.7202455866,20.4626967382,148.1230826933,324.3012584875,269.0332891951,86.2936285087,266.3291645137,29.0966915008,9.702409404,4.5004967202,2019-05-14,06:40:44,2
13,235.9830366721,265.060221162,79.6990328522,68.9590996604,91.8378847314,324.6342732757,268.7111564842,85.060221162,265.4167825612,51.4581743869,10.8960325778,32.8083354816,2019-06-06,18:17:13,2
14,216.3720577944,276.0925073801,302.5644695271,226.5625229259,235.6320244107,319.7420239357,265.1393458358,96.0925073801,251.7268551817,203.8011966451,5.8504786983,182.0050216029,2018-11-10,12:47:00,1
15,234.897050904,271.3426529709,1.5503856178,301.3899227306,328.2781038923,321.1328980602,267.819441614,91.3426529709,261.6741659084,294.8063372901,5.0138689041,250.5274936197,2019-02-07,22:59:03,2
16,214.6760331183,276.5261790925,298.0163129777,218.7888434853,124.5610019661,319.8222811084,265.0026838712,96.5261790925,251.0478553749,196.008858511,6.156337759,185.0707884689,2018-11-02,07:22:27,1
17,199.3421606856,282.7564868149,284.4380225684,107.7135444162,6.4722707111,322.3834960707,266.117570407,102.7564868149,251.0833178995,81.7403205808,8.16525464,123.5629262237,2018-07-07,17:40:44,2
18,237.5894735945,270.3387109331,14.3394186896,332.0046903354,229.024000435,321.8240899069,268.3571023428,90.3387109331,263.524241673,313.9255741811,5.6548085564,272.6185256456,2019-02-26,20:40:04,1
19,240.0863310119,267.4152754147,50.9554160258,343.5926791171,234.7077635899,323.7762985683,269.1232261018,87.4152754147,266.4505717455,8.5641407587,8.5039364869,338.8233253504,2019-04-23,03:41:13,2
20,213.1071511678,276.8702685087,293.9230536465,209.5049305337,33.6214716783,319.9253206832,264.8989132092,96.8702685087,250.4691409042,188.6902897765,6.4538629488,189.3426363795,2018-10-25,21:32:13,2
21,202.3239769448,280.1537499655,274.6216863701,110.1520266929,299.5291246557,321.4223734283,265.0520527888,100.1537499655,248.6410861919,128.3679966758,8.4158941313,174.0004160385,2018-08-25,17:27:14,1
22,226.7267120501,273.6092191313,332.6652291488,232.8763040455,132.398808373,319.9735920288,266.4185637447,93.6092191313,256.7897487678,251.2939504296,4.6361267979,204.8182828277,2018-12-27,05:27:37,2
23,212.5828125943,277.0241931922,292.5824793596,206.1107081353,354.6343181031,319.9660223177,264.8695344199,97.0241931922,250.2873983254,186.2122500688,6.5557501715,190.8465246087,2018-10-23,17:49:29,1
24,234.0960421408,264.2686968351,89.2440410267,90.6896468464,292.5196772162,324.6964022116,268.4106176154,84.2686968351,264.4999166436,65.7282685776,11.5361411785,51.0200646107,2019-06-21,11:46:01,2
25,235.339210974,271.1947070655,3.4399316591,306.4358345756,2.1630106821,321.2308309412,267.9046129254,91.1947070655,261.9654712711,297.6338626253,5.0922009426,253.7438602235,2019-02-10,17:59:19,1
26,213.519538663,276.7894446179,294.9875581201,212.0809170532,54.7518338302,319.8955441396,264.923952747,96.7894446179,250.6163283805,190.6268817039,6.3745383239,188.1556821864,2018-10-28,06:08:31,2
27,220.5052466942,275.1074247356,314.0971888319,219.0386033346,118.224457132,319.6842529825,265.567036477,95.1074247356,253.5787400003,222.5548654053,5.2074066818,184.0986212543,2018-11-29,05:55:32,2
28,221.9215313207,274.7711749516,318.1815060317,213.5088729073,204.8625789518,319.7094931438,265.7406675398,94.7711749516,254.2686086711,228.9883319656,5.0292636191,187.4235405104,2018-12-05,12:12:45,1
29,215.3611205921,276.3458099125,299.8389517398,222.3032755194,172.2366289155,319.7858761747,265.0548778278,96.3458099125,251.3157545873,199.1689372773,6.0304270955,183.5753668948,2018-11-05,14:03:47,2
30,201.1298720616,280.7216963781,275.6648932362,108.5575239154,166.7870483827,321.6976741319,265.2439152427,100.7216963781,248.9307489563,118.0530393128,8.525407121,163.9405456166,2018-08-15,06:13:55,1
31,234.3535699075,264.379137383,87.9149969888,88.2941029819,267.2356128103,324.6949745976,268.455808327,84.379137383,264.6390524272,63.7397884126,11.4541777476,48.4762602526,2019-06-19,15:44:54,1
32,202.9503084536,279.8959222558,274.6539139756,115.4566427459,359.4746045188,321.2913855674,264.9778568851,99.8959222558,248.5676395412,133.0645534055,8.3368327051,178.2360322001,2018-08-30,14:13:24,2
